   ,Queries                            ,results                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,results_generalized
 0 ,dog                                ,"['3642220260.jpg', '3437693401.jpg', '3401902253.jpg', '3651971126.jpg', '41999070.jpg', '132887917.jpg', '3399312265.jpg', '3472485022.jpg', '3400135828.jpg', '181157221.jpg', '78984436.jpg', '3397803103.jpg', '3411595210.jpg', '3401437960.jpg', '3401647850.jpg', '214501174.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"['106027774.jpg', '3642220260.jpg', '3437693401.jpg', '3401902253.jpg', '3651971126.jpg', '41999070.jpg', '132887917.jpg', '3399312265.jpg', '3472485022.jpg', '3400135828.jpg', '181157221.jpg', '78984436.jpg', '4398587015.jpg', '3397803103.jpg', '3411595210.jpg', '3401437960.jpg', '3401647850.jpg', '214501174.jpg']"
 1 ,instrument                         ,['134829866.jpg']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,"['134829866.jpg', '173831485.jpg', '146577645.jpg', '172097783.jpg', '173621789.jpg', '89779839.jpg']"
 2 ,tennis                             ,"['22930048.jpg', '23008270.jpg', '132955537.jpg', '23012542.jpg', '3906885450.jpg', '3420278866.jpg', '3400082864.jpg', '201682811.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"['22930048.jpg', '23008270.jpg', '132955537.jpg', '23012542.jpg', '3906885450.jpg', '3420278866.jpg', '3400082864.jpg', '201682811.jpg']"
 3 ,sleeping                           ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,['51145626.jpg']
 4 ,billiard                           ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"['3496411891.jpg', '65845721.jpg', '194935702.jpg']"
 5 ,ball                               ,"['3672940355.jpg', '156246815.jpg', '160417285.jpg', '205496450.jpg', '18105594.jpg', '3545652636.jpg', '3522749949.jpg', '3805841948.jpg', '4242032129.jpg', '200778628.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"['5333578.jpg', '3672940355.jpg', '156246815.jpg', '160417285.jpg', '205496450.jpg', '18105594.jpg', '3545652636.jpg', '3522749949.jpg', '3805841948.jpg', '4242032129.jpg', '200778628.jpg']"
 6 ,bicycle                            ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"['3847619635.jpg', '109823394.jpg', '131840964.jpg', '109823395.jpg', '207344485.jpg', '101001624.jpg', '3450158776.jpg', '3947925542.jpg', '3474176841.jpg']"
 7 ,kids                               ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"['3613030730.jpg', '76607426.jpg', '4280272.jpg', '32628083.jpg', '125635185.jpg', '3520321387.jpg']"
 8 ,animal                             ,"['113032513.jpg', '141213544.jpg', '4749855.jpg', '3471500645.jpg', '3763892708.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"['113032513.jpg', '141213544.jpg', '4749855.jpg', '3471500645.jpg', '3763892708.jpg']"
 9 ,snow                               ,"['113678030.jpg', '3662865.jpg', '4335121319.jpg', '101001624.jpg', '3432586199.jpg', '3400135828.jpg', '109738916.jpg', '4337308572.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,"['113678030.jpg', '3662865.jpg', '4335121319.jpg', '101001624.jpg', '3432586199.jpg', '3400135828.jpg', '109738916.jpg', '4337308572.jpg']"
10 ,guy with guitar                    ,"['140732943.jpg', '3520199925.jpg', '4445547327.jpg', '28041138.jpg', '36139994.jpg', '149588792.jpg', '5217116.jpg', '4202061400.jpg', '4202073868.jpg', '3634200287.jpg', '3989319865.jpg', '74437575.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"['140732943.jpg', '3520199925.jpg', '4445547327.jpg', '28041138.jpg', '36139994.jpg', '149588792.jpg', '5217116.jpg', '4202061400.jpg', '4202073868.jpg', '3634200287.jpg', '3989319865.jpg', '74437575.jpg']"
11 ,a girl riding a horse              ,['4576510103.jpg']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,['4576510103.jpg']
12 ,a man surfing                      ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"['12904242.jpg', '96420612.jpg', '3497106366.jpg', '172092461.jpg', '3413571342.jpg']"
13 ,a man shaving                      ,['4322110026.jpg']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,['4322110026.jpg']
14 ,a woman underwater                 ,"['47376414.jpg', '3471986083.jpg', '166695748.jpg', '141213544.jpg', '3520199925.jpg', '133189853.jpg', '50159774.jpg', '51145626.jpg', '3948611540.jpg', '22930048.jpg', '146684257.jpg', '96056569.jpg', '170876266.jpg', '12904242.jpg', '23008270.jpg', '157955034.jpg', '3399618896.jpg', '174466741.jpg', '3737711435.jpg', '4022995667.jpg', '179656683.jpg', '3399843227.jpg', '3903603264.jpg', '136391987.jpg', '102030371.jpg', '207225205.jpg', '73647680.jpg', '3403263046.jpg', '81110653.jpg', '23012542.jpg', '166321259.jpg', '3451344589.jpg', '158093226.jpg', '51146082.jpg', '4373983146.jpg', '207344485.jpg', '149043687.jpg', '185368429.jpg', '81370406.jpg', '4021647447.jpg', '65845721.jpg', '3677239603.jpg', '106027978.jpg', '130784506.jpg', '3673484638.jpg', '89779839.jpg', '125635185.jpg', '3520321387.jpg', '200764606.jpg', '174984835.jpg', '3741664817.jpg', '4377802020.jpg', '3907722043.jpg', '88486961.jpg', '96113759.jpg', '4576671.jpg', '3612451934.jpg', '3674168459.jpg', '160566014.jpg', '3996949550.jpg', '82676766.jpg', '3437702351.jpg', '131632409.jpg', '96421540.jpg', '74437575.jpg', '170007535.jpg', '72010195.jpg', '3914087743.jpg']" ,"['47376414.jpg', '3471986083.jpg', '166695748.jpg', '141213544.jpg', '3520199925.jpg', '3672940355.jpg', '133189853.jpg', '50159774.jpg', '4445547327.jpg', '51145626.jpg', '3948611540.jpg', '179510508.jpg', '22930048.jpg', '146684257.jpg', '96056569.jpg', '18638574.jpg', '170876266.jpg', '12904242.jpg', '23008270.jpg', '71651754.jpg', '157955034.jpg', '3399618896.jpg', '174466741.jpg', '3737711435.jpg', '4022995667.jpg', '179656683.jpg', '3640417354.jpg', '3399843227.jpg', '3903603264.jpg', '136391987.jpg', '102030371.jpg', '155215518.jpg', '207225205.jpg', '73647680.jpg', '3403263046.jpg', '81110653.jpg', '4576510103.jpg', '23012542.jpg', '166321259.jpg', '173621789.jpg', '3451344589.jpg', '158093226.jpg', '51146082.jpg', '4373983146.jpg', '207344485.jpg', '149043687.jpg', '185368429.jpg', '81370406.jpg', '3471514734.jpg', '18105594.jpg', '4021647447.jpg', '4514569500.jpg', '65845721.jpg', '72009374.jpg', '3677239603.jpg', '106027978.jpg', '130784506.jpg', '3471500645.jpg', '3673484638.jpg', '89779839.jpg', '125635185.jpg', '3520321387.jpg', '200764606.jpg', '154873964.jpg', '174984835.jpg', '3741664817.jpg', '207216904.jpg', '3432586199.jpg', '3805841948.jpg', '4377802020.jpg', '3907722043.jpg', '88486961.jpg', '205371152.jpg', '3914720167.jpg', '145053276.jpg', '3399798295.jpg', '96113759.jpg', '4576671.jpg', '3612451934.jpg', '3674168459.jpg', '3765374230.jpg', '160566014.jpg', '3996949550.jpg', '82676766.jpg', '110600869.jpg', '185188962.jpg', '3437702351.jpg', '131632409.jpg', '96421540.jpg', '74437575.jpg', '170007535.jpg', '72010195.jpg', '3914087743.jpg']"
15 ,playing soccer                     ,['33064820.jpg']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"['156246815.jpg', '33064820.jpg', '160417285.jpg', '4242038325.jpg', '3545652636.jpg', '3522749949.jpg', '4242032129.jpg', '4545666207.jpg', '200778628.jpg']"
16 ,guy is kicking a ball              ,"['156246815.jpg', '160417285.jpg', '3545652636.jpg', '3522749949.jpg', '200778628.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"['156246815.jpg', '160417285.jpg', '3545652636.jpg', '3522749949.jpg', '200778628.jpg']"
17 ,little girl crying                 ,"['3672940355.jpg', '4445547327.jpg', '179510508.jpg', '155215518.jpg', '4576510103.jpg', '173621789.jpg', '3471514734.jpg', '4514569500.jpg', '3471500645.jpg', '174984835.jpg', '3432586199.jpg', '205371152.jpg', '3914720167.jpg', '110600869.jpg', '185188962.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"['3672940355.jpg', '4445547327.jpg', '179510508.jpg', '18638574.jpg', '71651754.jpg', '3640417354.jpg', '155215518.jpg', '4576510103.jpg', '173621789.jpg', '3471514734.jpg', '18105594.jpg', '4514569500.jpg', '3471500645.jpg', '174984835.jpg', '207216904.jpg', '3432586199.jpg', '3805841948.jpg', '205371152.jpg', '3914720167.jpg', '3612451934.jpg', '3765374230.jpg', '110600869.jpg', '185188962.jpg']"
18 ,a dog in the water                 ,"['3401902253.jpg', '41999070.jpg', '3411595210.jpg', '3401647850.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"['3401902253.jpg', '41999070.jpg', '3411595210.jpg', '3401647850.jpg']"
19 ,a car race                         ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"['106027774.jpg', '160566014.jpg', '74032739.jpg', '144571886.jpg', '170007535.jpg', '3402502423.jpg']"
20 ,a dog is running on the field      ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,['181157221.jpg']
21 ,a person walking on the beach      ,['134747073.jpg']                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,['134747073.jpg']
22 ,a man is riding a quad bike        ,"['3847619635.jpg', '109823394.jpg', '131840964.jpg', '207344485.jpg', '101001624.jpg', '3450158776.jpg', '3947925542.jpg', '3474176841.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"['3847619635.jpg', '109823394.jpg', '131840964.jpg', '207344485.jpg', '101001624.jpg', '3450158776.jpg', '3947925542.jpg', '3474176841.jpg']"
23 ,a man blowing a bubblegum bubble   ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"['5333578.jpg', '113678030.jpg', '101001624.jpg']"
24 ,people training a fighting sport   ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,[]
25 ,An airoplane being serviced        ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,['183390543.jpg']
26 ,people sitting in an audience      ,"['71174245.jpg', '3740622839.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"['71174245.jpg', '3740622839.jpg', '109738916.jpg']"
27 ,a family posing for a picture      ,"['133189853.jpg', '18638574.jpg', '71651754.jpg', '3640443200.jpg', '3399798295.jpg', '3612451934.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,"['133189853.jpg', '18638574.jpg', '71651754.jpg', '3640443200.jpg', '3399798295.jpg', '3612451934.jpg']"
28 ,a man without a shirt on           ,"['36139994.jpg', '4093748512.jpg', '132955537.jpg', '120545126.jpg', '18638962.jpg', '3685373706.jpg', '213583123.jpg', '3907722043.jpg', '117478651.jpg', '212863746.jpg', '4475688604.jpg']"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,"['36139994.jpg', '4093748512.jpg', '132955537.jpg', '120545126.jpg', '18638962.jpg', '3685373706.jpg', '213583123.jpg', '3907722043.jpg', '117478651.jpg', '212863746.jpg', '4475688604.jpg']"
29 ,a woman or girl playing the violin ,[]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,"['3672940355.jpg', '4445547327.jpg', '18105594.jpg', '3432586199.jpg', '205371152.jpg', '3765374230.jpg']"
